Jokes,Offensive,Explicit
واحد طاح من الدرج راح للدكتور عطاه مرهم وقال له ادهن مكان الاصابه قام راح ودهن الدرج,0,no
سال احدهم الاخر اتذهب الي امريكا ام تبقى؟ فاجابه ساذهب الي تبقى.,0,no
المدرس: ماذا فعل الرومان حين عبروا البحر الابيض المتوسط التلميذ: جففوا ملابسهم,0,no
مره مدرس بيسال تلميذ معني سبيل قال التلميذ طريق قال المدرس للتلميذ ومعني سلسبيل قال التلميذ طرطريق,0,no
بابا سال استاذ تلميذه ما اسم الحيوان الذي تصحو علي صوته كل صباح اجاب بابا,1,no
مره مدرس قال للتلاميذ اللي موش فاهم يقوم يقف فواحد بس اللي وقف بعدين قاله المدرس انتا موش فاهم قاله لا بس عيب اخليك واقف لوحدك,1,no
 مره واحد هو وابنه ميعرفوش هو ايه الاسنسير بس شايفين الحيطه عماله تتفتح وتتقفل وهما مش فاهمين حاجه المهم جت واحده عجوزه ظغطت علي الزر اللي في الحيطه ودخلت الاسنسير وبعد شويه الاسنسير نزل وطلعت منه شابه جميله فالراجل قال لابنه روح هات امك هنا,1,no
سأم ثلاثه بخلاء من الناس التي تظل تتكلم عن بخلهم فقالو سننفق بعض المال من اجل نزع هذا الكلام فقال الاول سارسم خطا وارمي المال ما ذهب الي يمين لي ومن ذهب الي يسار لهم فقال ثاني سارسم دايره وارمي المال ما دخل الي دايره لي وما لم يدخل لهم فقال ثالث انا سارمي المال في السماء مابقي في السماء لهم وما سقط في الارض لي,0,no
معلم سال طالب السروال مفرد و لا مثني ؟ رد الطالب مفرد من فوق و مثني من تحت,0,no
غبي موقف عند التلفزيون مفصخ ليه؟ يبغي يشارك في مسابقه انزع واربح,0,no
صاحت الام في ابنها الصغير لماذا تاخرت الم اقل لك ارجع من البقاله بسرعه فقال الابن نعم يا ماما ولكن لم تقولي لي ان اذهب بسرعه,0,no
حمار تزوج حماره في اول يوم الحمار قال لزوجته تفضلي ياحماره قالت له بدينا,1,yes
في وحده شاركت في برنامج من سيربح المليون فطلقها زوجها لانها طلبت الاتصال بصديق,0,no
في واحد نام في السطح حس بالبرد سكر باب السطح,0,no
في سكران طاح من الدور الرابع تجمعوا عليه الناس و قالوله وش الي صار قالهم و الله ما ادري توني جاي,0,no
مغفل راح ل ماكدونالدز وقال لهم عندكم حلقات بصل قالوا ايه قال عطوني الحلقه الاخيره,0,no
مغفل حاط كيس وراه ويسال صديقه اذا عرفت اللي معايه اعطيك منه سمكه قال الثاني عرفت معاك بحر,0,no
مرة واحد غبي شرا باب قزاز لبيته وركب له عين سحريه,0,no
فيه اثنين ركبوا سياره واحد ساق واحد فخذ,0,no
ميكانيكي اشتري سرير نام تحته,0,no
"القت الشرطه علي اسرائيلي بعد ان كتب علي منزل رئيس الوزراء ""حمار"". فقدمته للمحكمه بتهمتين الاولي الاساءة لمسؤول كبير والثانيه افشاء اسرار الدوله.",1,yes
في مره قزم تزوج قزمه وجابوا طفل سموه نعمه ليش عشان ما يدوسون عليه.,1,yes
اغبياء سمعوا عن المخطط الصهيوني راحوا يشترون منه أراضي.,1,yes
فيه واحد قال نكته قديمه طلع من فمه غبار.,0,no
في اثنين اغبياء دخلو الامتحان بعد الامتحان سال الاول الثاني كيف الامتحان معك قاله ماحليت ولا سؤال قال الاول حتي انا مثلك لا يحسبونا غاشين من بعض,0,no
لاعب كره قدم اتغسل قبل ما يلعب المباراه ليش؟ علشان يسجل اهداف نظيفه,0,no
"ذهب احد الاطفال الي امه وقال لها ماما اعطيني نقودا حتي اعطيها لرجل مسكين يصيح في الشارع فرحت الام لقلب طفلها الطيب واعطته النقود ثم سالته وماذا يصيح هذا الرجل يا ولدي قال الطفل انه يصيح ""ايس كريم.. ايس كريم""",0,no
قال الاب لابنه بغضب عندما كان نابليون في سنك كان الاول علي فصله فرد عليه الابن وعندما كان نابليون في سنك كان امبراطور فرنسا,1,no
واحد راح السلك الدبلوماسي اتكهرب,0,no
فيه محامي رفع قضيه طاحت عليه,0,no
واحد تزوج صينيه صار يقدم بيها شاي,0,no
في واحد حلو تزوج وحده حلوه خلفو ولد شربات,0,no
وش وجه الشبه بين الصعيدي الذكي وسوبر مان؟ كلهم شخصيات خياليه,1,no
مدرس يشرح لطلاب صعايده وكل مامسح السبوره شقوا الورقه,1,no
واحد طيب كتيير تجوز وحده طيبه كتيير جابو ولد تبرعوا فيه,0,no
شباب راكبين هليكبتر قالوا للسايق طف المروحه تونا متسبحين,0,no
في واحد غبي فتح له كراج خسر ليش؟ فاتحه في الطابق الثاني,0,no
محشش اتصل علي ناس قال بيت فلان قالو لا قال اجل ليش تردون,0,no
