Jokes,Offensive,Explicit
تزوجت ابنتهم الوحيدة من طبيب جراح ولما مرض ابوها وقبل دخوله غرفة العمليات طلب أن يتكلم مع زوج ابنته الطبيب الجراح. فقال له جملة كان لها أثرا عظيما في نجاح العملية. الا وهي: لا تنس أنه إذا حصل لي مكروه بسبب العملية، فحماتك سوف تأتي للعيش معكم فكانت من أنجح العمليات,1,no
واحد عندو سبع ولاد سمي نفسو سفن اب,0,no
لاعب كره قدم اتغسل قبل ما يلعب المباراه ليش؟ علشان يسجل اهداف نظيفه,0,no
كيس طاير بالهواء ليش؟ هارب من البلدية,0,no
"الزوجة: حبيبي رح تجيبلي دهب ب 8 مليون لما نتجوز؟
الزوج: حبيبتي انتي بتستاهلي ماس.
الزوجة: عنجد؟؟
الزوج: ماس كهربائي ينفضك انتي وامك",1,no
"عندما اكملت الزوجة ال40 أراد زوجها أن يحتفل بها وذهب إلى محل الحلويات وطلب منه كيكه يكون مكتوب عليها العبارة التالية
(صحيح كبرتي ، بس احلويتي )
وقبل الحفلة بساعات اتصل صاحب المحل بالزوج ليسأله عن كيفية كتابة العبارة فقال له الزوج : اكتب كلمة (صحيح كبرتي)من فوق باللون الأزرق ، واكتب كلمة (بس احلويتي) من تحت باللون الزهري
وفي الحفل اجتمع الجميع ليفتحوا علبه الكيكه وعندما فتحوها غرق الجميع بالضحك وأغمي على الزوجة ، لأن عامل الحلويات كاتب :
صحيح كبرتي من فوق
بس احلويتي من تحت",1,no
"واحد كاتب: من اهم صفات الزوجة الناجحة الطبخ 
ردت عليه وحدة : اكبر طموح البهايم علفها",1,no
"راجل عجوز راح لدكتور مسالك بوليه
علشان بيحس بألم الدكتور كشف عليه و قاله : عايز عينه حيوانات منويه اول ما تصحي الصبح وأداله برطمان نضيف كده معقم و متبرشم تاني يوم الراجل راح للدكتور بالبرطمان فاضي الدكتور سأله فين العينه قاله شوف يا ابني ... انا حاولت بإيدي اليمين لحد ما زهقت معرفتش ... حاولت بالشمال ... مفيش فايده صحيت مراتي... حاولت بايديها.... انسى.. جربت ببؤها مفيش نتيجه راحت خبطت على واحده جارتنا ... بنت زي الورد عندها ٢٥ سنه حاولت معانا لدرجه انها كانت بتعصره بين رجلها ومفيش فايده. الدكتور بصله بذهول وقاله انتوا جبتوا جارتكم اللي عندها ٢٥ سنه عادي كده؟ العجوز قاله : أه ، تخيل كلنا حاولنا ومحظش عرف يفتح البرطمان",1,yes
في واحد ضاق خلقه لبسه لاخوه الصغير,0,no
واحد صيني بدهم يعذبوه كيف؟ فتحوا عينيه.,1,no
