Jokes,Offensive,Explicit
"My wife said, if you won the lottery, would you still love me? I said, of course I would. I'd miss you. But I'd still love you.",1,no
I used to work for the circus. I was a human cannonball until they fired me.,0,no
Did you hear about Rudolph's roller coaster ride? He held on for dear life.,0,no
"When I was a kid, I used to pray for a bicycle. Then as I grew older, I learned in Sunday school, that's not how prayer works. So I stole a bike. And then prayed for forgiveness.",0,no
My son was chewing on electrical cords so I had to ground him. He's doing better currently than conducting himself properly.,0,no
"The internet connection at my farm is really sketchy, so I moved the modem to the barn. Now I have stable Wi-Fi.",0,no
Yesterday I opened my water bill and my electric bill at the same time. I was shocked.,0,no
"I told my wife, the next door neighbor died. She said, who, Ray? I said, it's way too early to celebrate like that.",1,yes
I like to brag. I like to change the M and the N on people's keyboards in the office. Some say I'm a monster. But I say I'm a nomster.,0,no
What did the triangle say to the circle? You're pointless.,0,no
"My wife told me to pick up six cans of Sprite at the grocery store. When I got home, I realized I had picked seven up.",0,no
My wife says that quilts are better than duvets. I said you better be careful making blanket statements like that.,0,no
"If lightning hits an orchestra, who's more likely to get hit? The conductor.",0,no
What physical part of the computer never stops working? The keyboard. It has two shifts.,0,no
I dated a Swiss girl back in the day. And broke up with her once I got to her hometown. There was too many red flags.,0,no
"Do you know that insurance companies are warning campers that if your tent is stolen at night, you won't be covered?",0,no
The guy tried selling me a coffin. That's the last thing I need.,0,no
I got fired from the bank today. A woman asked me to check her balance. So I pushed her.,1,no
I lost my wife's audio book last night. I may never hear the end of it.,0,no
I'm making a documentary on how to fly a plane. We're currently filming the pilot.,0,no
What word starts with E and ends with E but only has one letter in it? Envelope.,0,no
"My boss told me as a security guard, I need to watch the office. I'm on season six, but I have no idea what it has to do with being a security guard.",0,no
What do you call it when a midget waves at you? A microwave.,1,yes
"My mother said, one man's trash is another man's treasure. Turns out I'm adopted.",1,no
Why did the scarecrow get an award? Because he was outstanding in his field.,0,no
"Do you know the best Christmas present is? A Broken drum, you just can't beat it.",0,no
I sat next to a baby for a 10 hour flight. I didn't think it was possible for someone to scream for 10 hours straight. Even the baby was impressed.,0,no
You know what nation sleeps the longest? Hibernation.,0,no
I'm reading a horror book in Braille. Something bad's going to happen. I can feel it.,0,no
I joined the gym and asked my trainer what machine I should use to get beautiful girls. He told me I should try the ATM machine outside.,0,no
You don't need a parachute to go skydiving. But you do need a parachute if you're gonna go skydiving twice.,0,no
All I got for Christmas was a deck of sticky playing cards. I'm having a hard time dealing with this.,0,no
Last night my wife put on a new dress and asked me to zip it. I don't know what I did wrong. I didn't say anything.,0,no
